epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
126,10951.8,1.18922,0.68284,0.00358,0.90133,0.92022,0.95344,0.64319,1.19269,0.48844,0.00434,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,11265.3,1.1865,0.67061,0.00355,0.90379,0.91904,0.95374,0.64293,1.19251,0.48666,0.00434,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,11574.2,1.18306,0.68614,0.00353,0.90693,0.9183,0.95416,0.64422,1.19135,0.48534,0.00433,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,11877.5,1.1688,0.65942,0.00352,0.90357,0.92326,0.95425,0.64489,1.1892,0.48471,0.00433,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,12186.2,1.1652,0.67078,0.00348,0.9071,0.9202,0.95466,0.64495,1.19279,0.47902,0.00433,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,12513.5,1.1632,0.67188,0.00346,0.90707,0.92247,0.95481,0.64428,1.19156,0.48015,0.00432,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,12817.2,1.16201,0.66203,0.00347,0.90497,0.92436,0.95524,0.6453,1.18978,0.47615,0.00431,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,13130.8,1.15761,0.65515,0.00345,0.90333,0.92385,0.95525,0.64575,1.19094,0.47456,0.00431,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,13439.9,1.1417,0.64862,0.0034,0.90681,0.91936,0.95554,0.64637,1.18966,0.47344,0.00431,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,13758,1.14509,0.64614,0.00341,0.90605,0.91936,0.95545,0.64662,1.1896,0.47276,0.00431,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,14066.2,1.13286,0.63543,0.00339,0.91088,0.92142,0.95577,0.64781,1.19146,0.47197,0.00431,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
